learning_rate,m,n,mu,rho,alpha,num_iters,train_loss,test_loss,best_train_loss,best_test_loss,train_corr,test_corr,best_train_corr,best_test_corr,model
0.01,103,103,0.5,0.5,1.8,40000,0.04433295875787735,0.05203525722026825,0.04433295875787735,0.051412690430879586,0.9550448144831134,0.4099560366079866,0.9550448144831134,0.4896044614758845,rf
0.01,103,103,0.5,0.4444555555555556,1.8,40000,0.04433329775929451,0.052035156637430184,0.04433329775929451,0.05140591412782669,0.9550355869462429,0.4099498826610988,0.9550355869462429,0.4910807675339174,rf
0.01,103,103,0.5,0.3889111111111111,1.8,40000,0.04433443397283554,0.05203495547175408,0.04433443397283554,0.05139103531837464,0.9549979346327866,0.40992764344980814,0.9549979346327866,0.4929360135056429,rf
0.01,103,103,0.5,0.3333666666666667,1.8,40000,0.04433494433760643,0.05203508958220482,0.04433494433760643,0.05137347057461738,0.9550007605325402,0.40991605023290106,0.9550007605325402,0.4951778518651322,rf
0.01,103,103,0.5,0.2778222222222222,1.8,40000,0.0443345382809639,0.0520351380109787,0.0443345382809639,0.05135544389486313,0.9550082228972686,0.4099210659947017,0.9550082228972686,0.4978632916648802,rf
0.01,103,103,0.5,0.2222777777777778,1.8,40000,0.044334635138511665,0.05203503742814064,0.044334635138511665,0.051340926438570016,0.9550050703220699,0.4099123545503863,0.9550050703220699,0.5006210111210662,rf
0.01,103,103,0.5,0.16673333333333334,1.8,40000,0.04433506727218628,0.05203477293252945,0.04433506727218628,0.0513361431658268,0.9550181293976934,0.4099244403680539,0.9550181293976934,0.5013812422801645,rf
0.01,103,103,0.5,0.11118888888888888,1.8,40000,0.044336646795272834,0.05203397572040558,0.044336646795272834,0.05135079100728035,0.9550127190207136,0.4100948328476179,0.9550127190207136,0.4988003363756974,rf
0.01,103,103,0.5,0.05564444444444444,1.8,40000,0.04433860257267952,0.052033595740795135,0.04433860257267952,0.05137860774993897,0.9548817961525417,0.410072912205963,0.9548817961525417,0.494205417393951,rf
0.01,103,103,0.5,0.0001,1.8,40000,0.0445331446826458,0.05200070515275002,0.0445331446826458,0.05155939981341362,0.9501305155478579,0.4127639397909338,0.9501305155478579,0.466971319021975,rf
0.01,103,103,0.4444555555555556,0.5,1.8,40000,0.04338714852929115,0.0519116036593914,0.04338714852929115,0.05120859295129776,0.9580044687003648,0.4134050507785325,0.9580044687003648,0.4946786653873891,rf
0.01,103,103,0.4444555555555556,0.4444555555555556,1.8,40000,0.043387535959482186,0.05191149190068245,0.043387535959482186,0.05120190605521202,0.9579928027442624,0.4133983844215296,0.9579928027442624,0.4960981282075409,rf
0.01,103,103,0.4444555555555556,0.3889111111111111,1.8,40000,0.0433882437646389,0.05191151425242424,0.0433882437646389,0.051185932010412216,0.9579751817810348,0.4133348180147117,0.9579751817810348,0.4979016816325344,rf
0.01,103,103,0.4444555555555556,0.3333666666666667,1.8,40000,0.04338917136192322,0.05191134288907051,0.04338917136192322,0.051166247576475136,0.9579660690708623,0.41336516132418655,0.9579660690708623,0.5001008550775579,rf
0.01,103,103,0.4444555555555556,0.2778222222222222,1.8,40000,0.04338894411921501,0.051911424845457084,0.04338894411921501,0.051145661622285836,0.9579687590497672,0.4133417398849992,0.9579687590497672,0.502756732610249,rf
0.01,103,103,0.4444555555555556,0.2222777777777778,1.8,40000,0.04338894039392471,0.05191129446029663,0.04338894039392471,0.051128514111042016,0.9579732259646396,0.4133602821326254,0.9579732259646396,0.5056844766653429,rf
0.01,103,103,0.4444555555555556,0.16673333333333334,1.8,40000,0.043389298021793365,0.05191094800829888,0.043389298021793365,0.05112172663211823,0.95798276507682,0.4133778645273243,0.95798276507682,0.5068390857916604,rf
0.01,103,103,0.4444555555555556,0.11118888888888888,1.8,40000,0.04339100793004036,0.05191008746623993,0.04339100793004036,0.05113743245601654,0.957976961693932,0.4135364362794707,0.957976961693932,0.5042501290980926,rf
